solver,N,z_mm,r_mm,phi
Thomas,32,1.2121212121212122,3.636363636363637,27.36465528439761
Thomas,32,1.2121212121212122,4.242424242424243,26.951714175371364
Thomas,32,1.2121212121212122,4.8484848484848495,26.477679434579173
Thomas,32,1.2121212121212122,5.454545454545456,25.94362711638138
Thomas,32,1.2121212121212122,6.060606060606061,25.350768521603833
Thomas,32,1.2121212121212122,6.666666666666668,24.700448872246984
Thomas,32,1.2121212121212122,7.272727272727274,23.994142900337298
Thomas,32,1.2121212121212122,7.878787878787881,23.23345259639652
Thomas,32,1.2121212121212122,8.484848484848486,22.42010272311367
Thomas,32,1.2121212121212122,9.090909090909092,21.555937560700066
Thomas,32,1.2121212121212122,9.696969696969699,20.64291627686959
Thomas,32,1.2121212121212122,10.303030303030305,19.6831087582452
Thomas,32,1.2121212121212122,10.909090909090912,18.678690812339692
Thomas,32,1.2121212121212122,11.515151515151516,17.63193921226923
Thomas,32,1.2121212121212122,12.121212121212123,16.54522666163749
Thomas,32,1.2121212121212122,12.72727272727273,15.42101621734376
Thomas,32,1.2121212121212122,13.333333333333336,14.261855884528979
Thomas,32,1.2121212121212122,13.939393939393943,13.070372756065067
Thomas,32,1.2121212121212122,14.545454545454549,11.849267079453284
Thomas,32,1.2121212121212122,15.151515151515154,10.601306328870255
Thomas,32,1.2121212121212122,15.757575757575761,9.329318644730582
Thomas,32,1.2121212121212122,16.363636363636363,8.036186949801403
Thomas,32,1.2121212121212122,16.969696969696972,6.724841744111136
Thomas,32,1.2121212121212122,17.575757575757578,5.398255172204349
Thomas,32,1.2121212121212122,18.181818181818183,4.059433639916883
Thomas,32,1.2121212121212122,18.787878787878793,2.711411543272536
Thomas,32,1.2121212121212122,19.393939393939398,1.3572439665881448
Thomas,32,2.4242424242424243,0.6060606060606062,56.7123902886672
Thomas,32,2.4242424242424243,1.2121212121212124,56.52081663962764
Thomas,32,2.4242424242424243,1.8181818181818186,56.201094239856005
Thomas,32,2.4242424242424243,2.4242424242424248,55.753954647339526
Thomas,32,2.4242424242424243,3.0303030303030307,55.18041700824606
Thomas,32,2.4242424242424243,3.636363636363637,54.48178571495357
Thomas,32,2.4242424242424243,4.242424242424243,53.659649205036644
Thomas,32,2.4242424242424243,4.8484848484848495,52.71587408745949
Thomas,32,2.4242424242424243,5.454545454545456,51.65260356365683
Thomas,32,2.4242424242424243,6.060606060606061,50.47224997291106
Thomas,32,2.4242424242424243,6.666666666666668,49.177492018325765
Thomas,32,2.4242424242424243,7.272727272727274,47.77126622955056
Thomas,32,2.4242424242424243,7.878787878787881,46.25676237169218
Thomas,32,2.4242424242424243,8.484848484848486,44.63741464239276
Thomas,32,2.4242424242424243,9.090909090909092,42.91689513089025
Thomas,32,2.4242424242424243,9.696969696969699,41.09910466437819
Thomas,32,2.4242424242424243,10.303030303030305,39.188164466075946
Thomas,32,2.4242424242424243,10.909090909090912,37.18840664467398
Thomas,32,2.4242424242424243,11.515151515151516,35.104364314229585
Thomas,32,2.4242424242424243,12.121212121212123,32.940761639993426
Thomas,32,2.4242424242424243,12.72727272727273,30.702502712242516
Thomas,32,2.4242424242424243,13.333333333333336,28.39466085220843
Thomas,32,2.4242424242424243,13.939393939393943,26.02246686236059
Thomas,32,2.4242424242424243,14.545454545454549,23.591297251540183
