N,backend_name,case,circuit_depth,circuit_depth_t,converged,discretisation_order,err_alg,err_disc,hhl_epsilon,hhl_scale_c,hhl_trotter_steps,kappa,max_abs_err,max_rel_err,n_gates_2q,n_gates_total,n_qubits,n_timing_repeats,notes,phase_lookup_time_s,proportionality_residual,qsvt_alpha,qsvt_angle_method,qsvt_degree,qsvt_kappa_eff,qsvt_max_degree,qsvt_phases_cached,random_seed,rel_l2_err,residual,rms_err,solver,success_probability,vqls_final_cost,vqls_n_evaluations,vqls_n_layers,vqls_n_restarts,vqls_optimiser_success,wall_time_mean_s,wall_time_s,wall_time_std_s
8,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,13151,2452482,True,4,2.5641502975471427e-13,0.015240196916751067,,,,42.137764839337706,0.0005950813174634296,4.82015867145378,519427,,3,1,,1.3971002772450447e-05,0.010008697225393043,61.60225275138703,auto,6575,42.137764839337706,,True,,0.01524019691663482,8.127175028309208e-13,0.0003688783156651743,QSVT,,,,,,,,4.546827562036924,
16,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,,True,4,0.0,6.546644947071406e-07,,,,154.512614771818,1.3034261290290061e-06,9.579461322584575e-05,,,,10,,,2.829574937256475e-07,,,,,,,,6.546644947071406e-07,6.888250730991311e-16,9.540968908970852e-07,Thomas,,,,,,,4.2772199958562854e-05,2.8201029635965824e-05,3.0775882336475506e-05
16,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,3228747,True,4,0.6140957911971985,6.546644947071406e-07,0.01,2.808981733081437,100,154.512614771818,1.1481499929858372,82.09440100871367,793553,4579162,4,1,,,0.4612498219700717,,,,,,,,0.6140960803191782,0.06454650364803494,0.8949731743230033,HHL,,,,,,,,220.4071540470468,
16,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,89,False,4,0.9924973887054389,6.546644947071406e-07,,,,154.512614771818,1.9924794847900522,141.99347587177297,30,240,4,1,,,0.97377859651751,,,,,,,42,0.9924974552182193,0.07995323449125986,1.4464488969584004,VQLS,,0.006392519705614275,12500,10,8,False,,258.9750891890144,
16,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,29999,31287922,True,4,6.551928196724733e-12,6.546644947071406e-07,,,,154.512614771818,1.3034213659501859e-06,9.579378830763954e-05,6659559,,4,1,,0.00014634395483881235,2.829548731198748e-07,63.32008364869358,auto,14999,154.512614771818,14999,True,,6.546585413284883e-07,6.221971032185744e-12,9.540882145443757e-07,QSVT,,,,,,,,8.607204096042551,
16,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,,True,4,0.0,8.373538990965411e-16,,,,154.512614771818,2.7755575615628914e-17,4.971572921859883e-13,,,,10,,,8.195809505203993e-16,,,,,,,,8.373538990965411e-16,1.910303153867307e-15,9.92563255124911e-18,Thomas,,,,,,,5.105531308799982e-05,3.003107849508524e-05,5.1026867761067384e-05
16,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,3228747,True,4,0.023676756106575596,8.373538990965411e-16,0.01,0.04666632451264386,100,154.512614771818,0.00047784546266732217,6.368686264442102,793553,4579162,4,1,,,0.017796470307747496,,,,,,,,0.023676756106575762,0.07203581338287886,0.000280654071561587,HHL,,,,,,,,207.13212020799983,
16,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,89,False,4,0.18328474166423922,8.373538990965411e-16,,,,154.512614771818,0.004100954203642652,74.36173029368346,30,240,4,1,,,0.13114717505886417,,,,,,,42,0.18328474166423933,0.20064279368662066,0.002172578404391134,VQLS,,0.040257530658371565,12500,10,8,False,,253.63467104895972,
16,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,29999,31287922,True,4,1.415122035446182e-12,8.373538990965411e-16,,,,154.512614771818,2.6484023307737914e-14,4.754954387407417e-10,6659559,,4,1,,0.0013928479747846723,8.587638325538774e-13,63.32008364869358,auto,14999,154.512614771818,14999,True,,1.4152598497489352e-12,3.5336051535674498e-12,1.677588084118349e-14,QSVT,,,,,,,,7.237454444053583,
16,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,,True,4,0.0,,,,,154.512614771818,,,,,,10,reference_no_exact,,,,,,,,,,,7.781952987246173e-15,,Thomas,,,,,,,4.741959273815155e-05,3.225170075893402e-05,2.780484369068638e-05
